level,proficiency,able,strength,con,wis,dex,intelligence,cha,hd,hp,ac,initiative,healing_spells,buff_spells,attack_bonus,weapon_damage,winrate
2.0,1.0,0.0,-6.0,0.0,-1.0,4.0,2.0,-4.0,0.0,18.0,-4.0,2.0,0.0,0.0,1.0,-2.0,0.763
0.0,0.0,0.0,-1.0,1.0,1.0,-3.0,7.0,1.0,0.0,2.0,3.0,-2.0,0.0,0.0,0.0,-7.0,0.355
-2.0,-1.0,0.0,1.0,2.0,-8.0,-1.0,2.0,1.0,1.0,-11.0,-1.0,-1.0,0.0,0.0,-1.0,2.0,0.192
1.0,0.0,0.0,0.0,4.0,-1.0,1.0,0.0,-4.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943
-2.0,-1.0,0.0,-7.0,-7.0,-5.0,-8.0,-4.0,-4.0,-4.0,-27.0,-7.0,-4.0,0.0,0.0,-4.0,-2.0,0.0
-2.0,-1.0,0.0,-4.0,0.0,-4.0,-1.0,6.0,2.0,0.0,-37.0,2.0,0.0,0.0,0.0,-2.0,-8.0,0.003
-1.0,0.0,0.0,6.0,2.0,5.0,6.0,-4.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,3.0,5.0,1.0
-2.0,-1.0,0.0,-7.0,-4.0,-2.0,8.0,3.0,3.0,-2.0,-28.0,-4.0,4.0,0.0,0.0,1.0,-4.0,0.003
0.0,0.0,0.0,1.0,-2.0,2.0,1.0,2.0,-5.0,-1.0,-1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.868
-2.0,-1.0,0.0,-1.0,2.0,3.0,3.0,6.0,-1.0,1.0,-12.0,-4.0,1.0,0.0,0.0,1.0,-4.0,0.05
-2.0,-1.0,0.0,-2.0,-1.0,3.0,3.0,7.0,3.0,0.0,-16.0,3.0,1.0,0.0,0.0,1.0,2.0,0.29
0.0,0.0,0.0,6.0,4.0,0.0,-1.0,-2.0,-8.0,2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.424
0.0,0.0,0.0,-3.0,0.0,3.0,3.0,6.0,-5.0,0.0,-4.0,0.0,1.0,0.0,0.0,0.0,-4.0,0.374
0.0,0.0,0.0,2.0,-2.0,8.0,1.0,-3.0,2.0,-1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0.809
0.0,0.0,0.0,-6.0,-2.0,3.0,1.0,2.0,3.0,-1.0,-10.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.353
0.0,0.0,0.0,8.0,-1.0,4.0,-3.0,-3.0,0.0,-1.0,-1.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.574
2.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,-6.0,1.0,22.0,2.0,0.0,0.0,0.0,0.0,-4.0,0.887
-2.0,-1.0,0.0,0.0,-1.0,-3.0,4.0,-3.0,5.0,0.0,-15.0,3.0,2.0,0.0,0.0,1.0,11.0,0.828
0.0,0.0,0.0,6.0,0.0,5.0,1.0,1.0,-5.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.587
-2.0,-1.0,0.0,-7.0,-5.0,3.0,2.0,7.0,0.0,-2.0,-26.0,-1.0,1.0,0.0,0.0,-2.0,-8.0,0.0
-2.0,-1.0,0.0,0.0,-5.0,-9.0,-14.0,-8.0,-3.0,-3.0,-25.0,-1.0,-7.0,0.0,0.0,-3.0,2.0,0.023
1.0,0.0,0.0,-3.0,-5.0,-2.0,-2.0,3.0,2.0,-2.0,0.0,-3.0,-1.0,0.0,0.0,-1.0,-8.0,0.087
-2.0,-1.0,0.0,2.0,0.0,0.0,-1.0,-3.0,-6.0,0.0,-13.0,4.0,0.0,0.0,0.0,0.0,2.0,0.439
